Id	Label	Category
22	22	Comedy
2970	2970	Action
44	44	Action
92	92	Action
43	43	Action
691	691	Fantasy
48	48	Action
198	198	Action
6	6	Action
616	616	Action
50	50	Animation
474	474	Animation
5	5	Action
87	87	Action
23	23	Drama
157	157	Drama
40	40	Animation
413	413	Adventure
33	33	Animation
16	16	Animation
380	380	Action
4	4	Animation
536	536	Animation
120	120	Action
64	64	Action
62	62	Action
216	216	Drama
139	139	Drama
1369	1369	Drama
1133	1133	Action
117	117	Action
193	193	Action
91	91	Drama
882	882	Action
67	67	Action
114	114	Action
74	74	Drama
911	911	Comedy
57	57	Action
299	299	Action
126	126	Comedy
190	190	Comedy
110	110	Comedy
1486	1486	Comedy
124	124	Action
889	889	Action
141	141	Action
932	932	Action
138	138	Action
1786	1786	Comedy
136	136	Action
111	111	Action
670	670	Adventure
107	107	Action
910	910	Action
75	75	Action
584	584	Action
145	145	Action
777	777	Action
88	88	Action
1130	1130	Action
174	174	Action
150	150	Action
1532	1532	Sci-Fi
125	125	Action
675	675	Comedy
172	172	Action
648	648	Action
2080	2080	Action
175	175	Action
926	926	Adventure
188	188	Action
577	577	Comedy
170	170	Comedy
540	540	Comedy
163	163	Comedy
503	503	Comedy
253	253	Action
285	285	Comedy
257	257	Horror
677	677	Action
221	221	Animation
201	201	Adventure
300	300	Action
811	811	Action
318	318	Comedy
693	693	Comedy
245	245	Comedy
878	878	Action
639	639	Action
317	317	Drama
195	195	Action
310	310	Adventure
236	236	Action
325	325	Action
1655	1655	Action
442	442	Action
194	194	Action
456	456	Action
431	431	Drama
488	488	Comedy
685	685	Action
372	372	Action
583	583	Action
459	459	Comedy
479	479	Drama
607	607	Action
586	586	Action
542	542	Comedy
554	554	Action
1121	1121	Comedy
999	999	Action
695	695	Adventure
1558	1558	Action
196	196	Action
665	665	Action
1025	1025	Action
527	527	Action
768	768	Action
544	544	Action
650	650	Action
766	766	Action
692	692	Action
674	674	Comedy
958	958	Action
505	505	Action
713	713	Action
920	920	Action
570	570	Action
1686	1686	Sci-Fi
620	620	Comedy
1502	1502	Action
581	581	Action
904	904	Sci-Fi
637	637	Action
865	865	Action
651	651	Action
550	550	Sci-Fi
602	602	Drama
615	615	Comedy
1487	1487	Sci-Fi
526	526	Action
774	774	Adventure
928	928	Action
60	60	Action
2794	2794	Horror
531	531	Animation
1306	1306	Action
704	704	Action
200	200	Action
2360	2360	Horror
1540	1540	Action
824	824	Action
884	884	Action
902	902	Action
874	874	Horror
899	899	Action
891	891	Adventure
912	912	Action
980	980	Action
199	199	Action
192	192	Action
972	972	Action
985	985	Action
957	957	Action
1084	1084	Action
1029	1029	Horror
788	788	Drama
1048	1048	Action
851	851	Animation
1036	1036	Action
1097	1097	Sci-Fi
1477	1477	Action
