Source	Target	Weight
0	1010	1.0
48	656	1.0
23	1520	1.0
64	916	1.0
123	1610	1.0
87	651	1.0
94	1095	1.0
160	728	1.0
107	1004	1.0
150	2901	1.0
187	595	1.0
174	710	1.0
216	655	1.0
243	999	1.0
257	1360	1.0
316	1022	1.0
279	534	1.0
238	1523	1.0
346	1308	1.0
427	726	1.0
655	1307	1.0
193	2808	1.0
677	316	1.0
573	48	1.0
197	899	1.0
554	1030	1.0
710	1015	1.0
595	883	1.0
713	1489	1.0
534	677	1.0
690	238	1.0
496	2360	1.0
656	783	1.0
651	1635	1.0
726	907	1.0
728	713	1.0
762	216	1.0
797	123	1.0
374	1007	1.0
858	243	1.0
874	993	1.0
899	1357	1.0
898	2256	1.0
900	3282	1.0
913	997	1.0
883	2170	1.0
907	1016	1.0
916	107	1.0
988	1369	1.0
196	913	1.0
1010	64	1.0
999	279	1.0
997	1001	1.0
1031	990	1.0
1030	573	1.0
1007	858	1.0
1017	1034	1.0
993	1292	1.0
995	2155	1.0
1004	874	1.0
1028	193	1.0
1022	196	1.0
990	1602	1.0
1001	1087	1.0
1016	2156	1.0
994	1071	1.0
1005	1913	1.0
989	427	1.0
998	1747	1.0
1029	995	1.0
1015	1017	1.0
1084	23	1.0
1034	994	1.0
1087	2257	1.0
1071	989	1.0
1120	1713	1.0
1106	1398	1.0
1095	346	1.0
1140	1664	1.0
1119	900	1.0
783	1522	1.0
1181	150	1.0
1220	2161	1.0
1292	1028	1.0
1307	1084	1.0
1304	160	1.0
1308	898	1.0
1369	554	1.0
1360	1595	1.0
1359	257	1.0
1403	1106	1.0
1398	1359	1.0
1353	1120	1.0
1357	374	1.0
1504	87	1.0
1489	690	1.0
1520	1504	1.0
1522	94	1.0
1523	1181	1.0
1534	2992	1.0
1635	988	1.0
1773	2150	1.0
1595	762	1.0
1713	2151	1.0
1738	3349	1.0
1747	2926	1.0
1829	496	1.0
1913	197	1.0
2080	1534	1.0
2161	2154	1.0
2155	1829	1.0
2169	2153	1.0
2153	1353	1.0
2150	2169	1.0
1594	1031	1.0
2144	2795	1.0
2170	2524	1.0
2151	797	1.0
2156	1403	1.0
2154	1140	1.0
2186	1119	1.0
1610	2144	1.0
1602	2555	1.0
2257	174	1.0
2256	1304	1.0
2360	1738	1.0
2467	2794	1.0
2524	2103	1.0
2528	1005	1.0
2555	187	1.0
2692	1594	1.0
2808	2528	1.0
2795	2816	1.0
2816	2186	1.0
2794	1773	1.0
2831	1220	1.0
1664	998	1.0
2901	2080	1.0
2926	1029	1.0
2992	2831	1.0
2122	2692	1.0
3282	2122	1.0
3349	2467	1.0
